Row Type,Status,Sync errors,Advertiser,Engine,Account,Authorization status,Last authorization status update time,Campaign,Engine status,Daily budget,Engine bid strategy name,Clicks,Impr,Cost,CTR,Avg CPC,Avg pos,,BU,CHANNEL
advertiser,Active,,Supermoney,,,,,,,,,2503,43998,816.06,0.0569,0.33,4.29,,#N/A,#N/A
advertiser,Active,,Supermoney_Energia,,,,,,,,,16177,408134,11405.64,0.0396,0.71,1.77,,#N/A,#N/A
advertiser,Active,,Supermoney_Prestiti,,,,,,,,,8159,385188,4879.59,0.0212,0.6,1.77,,#N/A,#N/A
advertiser,Active,,Supermoney_Telefonia,,,,,,,,,13840,458763,3514.44,0.0302,0.25,2.59,,#N/A,#N/A
advertiser,Active,,Supermoney_Assicurazioni Auto,,,,,,,,,5280,114809,1176.19,0.046,0.22,3.27,,#N/A,#N/A
engine account,Active,,Supermoney,Bing Ads,Supermoney - Bing,Ok,,,,,,115,3408,26.76,0.0337,0.23,2.3,,#N/A,#N/A
engine account,Active,,Supermoney_Prestiti,Google AdWords,Supermoney_Prestiti,Ok,,,,,,8159,385188,4879.59,0.0212,0.6,1.77,,#N/A,#N/A
engine account,Active,,Supermoney_Energia,Bing Ads,Supermoney_Energia,Ok,,,,,,1352,75185,546.68,0.018,0.4,1.65,,#N/A,#N/A
engine account,Active,,Supermoney,Google AdWords,Supermoney - AdWords,Ok,,,,,,2388,40590,789.3,0.0588,0.33,4.45,,#N/A,#N/A
engine account,Active,,Supermoney_Energia,Google AdWords,Supermoney_Energia,Ok,,,,,,14825,332949,10858.96,0.0445,0.73,1.79,,#N/A,#N/A
engine account,Active,,Supermoney_Telefonia,Google AdWords,Supermoney_Telefonia,Ok,,,,,,8305,143129,2939.21,0.058,0.35,2.79,,#N/A,#N/A
engine account,Active,,Supermoney_Assicurazioni Auto,Google AdWords,Supermoney_Assicurazione Auto,Ok,,,,,,5280,114809,1176.19,0.046,0.22,3.27,,#N/A,#N/A
engine account,Active,,Supermoney_Telefonia,Bing Ads,Supermoney_Telefonia,Ok,,,,,,5535,315634,575.23,0.0175,0.1,2.5,,#N/A,#N/A
campaign,Active,,Supermoney_Assicurazioni Auto,Google AdWords,Supermoney_Assicurazione Auto,,,|3005|Assicurazioni|Search|Generica_[E],ELIGIBLE,40,(manual; Enhanced CPC),802,18395,171.99,0.0436,0.21,3.83,,ASSICURAZIONI,SEARCH
campaign,Active,,Supermoney_Prestiti,Google AdWords,Supermoney_Prestiti,,,|0014|Prestiti|Search|Generica_[PB],ELIGIBLE,200,"CPA Target |0014|_1,7€",958,24234,441.22,0.0395,0.46,4.93,,PRESTITI,SEARCH
campaign,Active,,Supermoney_Energia,Google AdWords,Supermoney_Energia,,,|1005|Energia|Search|Generica_[E],ELIGIBLE,33.3,(manual),106,3784,67.58,0.028,0.64,3.79,,ENERGIA,SEARCH
campaign,Active,,Supermoney,Google AdWords,Supermoney - AdWords,,,|3002|ASSI|SEAR|MUMA|SUPE|NOSK|,ELIGIBLE,200,(manual; Enhanced CPC),53,78,24.6,0.6795,0.46,1.1,,ASSICURAZIONI,SEARCH
campaign,Active,,Supermoney_Energia,Google AdWords,Supermoney_Energia,,,|1301|Energia|Display|GSP|,CAMPAIGN_BUDGET_CONSTRAINED,7,(Target CPA; 6.00),1965,9052,61.57,0.2171,0.03,1,,ENERGIA,DISPLAY
campaign,Active,,Supermoney_Energia,Google AdWords,Supermoney_Energia,,,|1003|Energia|Search|Comparazione_[E],ELIGIBLE,100,(manual),581,6172,558.7,0.0941,0.96,3.68,,ENERGIA,SEARCH
campaign,Active,,Supermoney_Prestiti,Google AdWords,Supermoney_Prestiti,,,|0016|Prestiti|Search|Low_Quality_[PB],ELIGIBLE,200,"CPA Target |0016|_1,15€",439,2557,208.13,0.1717,0.47,3.07,,PRESTITI,SEARCH
